ISO3,COUNTRY.x,MIGRATION,DESEMPLEO,CRI,PUBLIC_SERV, CORRUPCTION, HUMANRIGTHS,PEACEINDEX,% POBLATION,FOODINSEC,#OFPEOPLEWOELECT
SAU,Saudi Arabia,5.52,5.7,73,3.2,"2,405","9,3",53,,,
SDN,Sudan,-1.67,28.5,19.83,8.6,"2,866","9,4",16,25.9,16092.9,19768125.03
SEN,Senegal,-0.71,2.9,67.5,7.4,"1,872","5,4",45,39.5,1607.7,4823723.152
SGP,Singapore,4.22,3.1,118,1,"1,348","4,6",85,88.94925269,159.3,0
SLB,Solomon Islands,-1.55,0.8,118,7.8,N/A,"4,6",42,,,
SLE,Sierra Leone,2.03,4.6,76.5,8.8,"1,814","5,2",33,16.8,1767.2,6039609.011
SVN,Slovenia,1.54,4.4,91.83,1.3,"1,293","1,0",60,83.1083578,255.6,0
SWE,Sweden,3.6,12.2,100.5,0.9,"1,515","0,9",85,94.49344341,173.6,0
TCD,Chad,-0.13,1.1,118,9.1,"2,499","8,8",20,,,
TJK,Tajikistan,-1.03,2.2,104.33,5.2,"2,168","8,6",25,,,
TTO,Trinidad and Tobago,-1.01,3.1,118,3.7,"2,059","3,6",40,,,
UGA,Uganda,-3.26,1.9,42.17,7.8,"2,193","8,0",28,14.7,6804.3,25986247.57
UKR,Ukraine,-0.26,8.2,76.17,3.8,"2,768","6,6",30,70.1248443,8899.3,0
URY,Uruguay,-0.88,8.9,79.67,2.7,"1,695","2,9",71,83.35153377,223.7,3461.731
UZB,Uzbekistan,-1.78,5.8,118,4.4,"2,056","7,9",25,70.4000024,1066.1,0
VEN,Venezuela,13.88,5.1,118,8.3,"2,673","9,0",16,,,
ZAF,South Africa,0,4.3,32.5,6.7,"2,410","4,2",44,,,
ZMB,Zambia,0.24,12.5,63.33,7.3,"1,768","7,4",34,16.8,8137.7,10180789.38
